"S1","I can generate and use a counterexample to argue that a statement is false."
"S2","I can identify limits in indeterminate forms and use appropriate strategies to evaluate the limit."
"S3","I can use the limit definition of the derivative to determine the differentiability of a function at a point."
"S4","I can use derivatives to solve applied optimization problems."
"S5","I can analyze the accumulation function numerically and graphically and compute its derivative."
"L1","I can determine input tolerance (delta) from a given function and output tolerance (epsilon)."
"L2","I can evaluate limits numerically, graphically and algebraically."
"L3","I can determine the points at which a function is (and is not) continuous both graphically and algebraically."
"L4","I can compute average rates of change and find slopes of secant lines."
"D1","I can interpret the meaning of a derivative in context."
"D2","I can find the equation of the line tangent to a function at a point and use this line as a linear approximation to estimate the value of a function at nearby points."
"D3","I can describe the relationships between f, f' and f'' and use that information to sketch graphs and list intervals of increase/decrease and concavity."
"D4","I can compute derivatives for sums, constant multiples, and power, polynomial, trig, exponential, and logarithmic functions using shortcuts."
"D5","I can compute derivatives using the product, quotient, and chain rules."
"D6","I can compute derivatives using multiple rules in combination."
"D7","I can compute derivatives of implicitly defined functions."
"D8","I can use calculus and derivative tests to find extreme values and classify them as maxima or minima."
"I1","Given a non-constant rate of change, I can estimate the total change over a time interval using a Riemann sum."
"I2","I can interpret the meaning of an integral in context and recognize when an integral would be suitable to model a real-life situation."
"I3","I can evaluate a definite integral exactly using geometry or the FToC."
"I4","I can use shortcuts to compute antiderivatives for sums, constant multiples, and power, polynomial, trig, exponential functions and 1/x."
"I5","I can evaluate integrals using the substitution method."
"I6","I can use integrals and antiderivatives to solve differential equations and initial value problems."
